Sample ID,Date,Tin (g),Wet Soil (g),Tin + Wet Soil (g),Tin + Dry Soil (g),Tin + Ashed soil (g),Water (g),Dry Soil (g),Ashed Soil (g),LOI (g ashed / g dry),DWE (g dry / g wet),Soil Moisture Fraction,Belowground Biomass Weight (g),Belowground Biomass (g / m2),NH4 ppm N,NH4 ppm N with 1/2MDL,"KCl extract soil weight, wet (g)","KCl extract soil weight, dry (g)",NH4 mg N,NH4 mg N per g dry soil,NH4 mg N per g wet soil,"Water extract soil weight, wet (g)","Water extract soil weight, dry (g)",SO4 ppm,SO4 mg,SO4 mg per g dry soil,SO4 mg per g wet soil,Denit (ng N / hr / g dry soil),N2O (ng / hr / g dry soil),N2O yield,Notes on N2O yield
LM1,May,1.01,4.9,5.91,1.7,1.39,4.21,0.69,0.38,0.550724638,0.140816327,0.859183673,10.15,5.17853,2.740999937,2.740999937,2.56,0.360489796,0.068524998,0.190088594,0.026767578,2.59,0.364714286,103.9143,2.5978575,7.122993537,1.003033784,2173.165279,251.1832934,0.115584073,
LM2,May,1.01,5.2,6.21,1.56,1.24,4.65,0.55,0.23,0.418181818,0.105769231,0.894230769,15.9,8.11218,4.985000134,4.985000134,2.46,0.260192308,0.124625003,0.478972666,0.05066057,2.45,0.259134615,65.562,1.63905,6.325090909,0.669,1008.968336,345.479052,0.34240822,
LM3,May,1.01,4.8,5.81,1.52,1.28,4.29,0.51,0.27,0.529411765,0.10625,0.89375,10.09,5.147918,3.450999975,3.450999975,2.54,0.269875,0.086274999,0.319685037,0.033966535,2.47,0.2624375,47.5176,1.18794,4.526563467,0.480947368,3624.722568,340.2233681,0.093861906,
LM4,May,1.01,4.95,5.96,1.48,1.2,4.48,0.47,0.19,0.404255319,0.094949495,0.905050505,15.81,8.066262,3.075999975,3.075999975,2.49,0.236424242,0.076899999,0.325262751,0.030883534,2.53,0.240222222,181.1835,4.5295875,18.85582216,1.790350791,696.4145182,61.48058984,0.088281603,
LM5,May,1.01,4.89,5.9,1.57,1.22,4.33,0.56,0.21,0.375,0.114519427,0.885480573,17.73,9.045846,2.84100008,2.84100008,2.58,0.295460123,0.071025002,0.240387777,0.027529071,2.53,0.289734151,93.9778,2.349445,8.108968132,0.928634387,55.87963752,73.61798713,1.317438523,Fluxes look good; yield is just slightly above 1
HM1,May,1.03,4.79,5.82,1.81,1.46,4.01,0.78,0.43,0.551282051,0.162839248,0.837160752,9.18,4.683636,1.80400002,1.80400002,2.42,0.394070981,0.045100001,0.114446388,0.018636364,2.5,0.407098121,47.5604,1.18901,2.920696359,0.475604,192.8898532,58.14076771,0.301419524,
HM2,May,1.03,5.12,6.15,2.56,2.1,3.59,1.53,1.07,0.699346405,0.298828125,0.701171875,8.87,4.525474,3.895999908,3.895999908,2.58,0.770976563,0.097399998,0.12633328,0.037751937,2.43,0.726152344,58.2073,1.4551825,2.003963097,0.598840535,1042.75682,203.3816201,0.195042234,
HM3,May,1.04,4.93,5.97,1.6,1.24,4.37,0.56,0.2,0.357142857,0.113590264,0.886409736,9.38,4.785676,2.523000002,2.523000002,2.52,0.286247465,0.063075,0.220351297,0.025029762,2.42,0.274888438,76.7195,1.9179875,6.97733056,0.792556818,797.6457264,101.8103604,0.127638571,
HM4,May,1.02,4.8,5.82,1.51,1.16,4.31,0.49,0.14,0.285714286,0.102083333,0.897916667,13.7,6.98974,5.447999954,5.447999954,2.53,0.258270833,0.136199999,0.527353388,0.053833992,2.53,0.258270833,269.9161,6.7479025,26.12723401,2.667155138,1519.629674,396.3545084,0.260823091,
HM5,May,1.01,4.92,5.93,3.4,3.01,2.53,2.39,2,0.836820084,0.485772358,0.514227642,6.31,3.219362,5.688000202,5.688000202,2.45,1.190142276,0.142200005,0.119481517,0.058040818,2.354,1.14350813,53.4756,1.33689,1.169112807,0.567922685,407.1976449,16.09609401,0.039528947,
PH1,May,1.02,4.78,5.8,2.05,1.61,3.75,1.03,0.59,0.572815534,0.215481172,0.784518828,6.1,3.11222,4.624000072,4.624000072,2.54,0.547322176,0.115600002,0.211210155,0.045511812,2.52,0.543012552,47.8426,1.196065,2.202647057,0.474628968,379.5865668,232.7594074,0.613191898,
PH2,May,1.03,4.95,5.98,2.01,1.67,3.97,0.98,0.64,0.653061224,0.197979798,0.802020202,4.36,2.224472,1.470000029,1.470000029,2.44,0.483070707,0.036750001,0.076075821,0.015061476,2.46,0.487030303,15.1694,0.379235,0.778668181,0.154160569,2011.934444,317.2661284,0.157692081,
PH3,May,1.03,4.87,5.9,1.61,1.18,4.29,0.58,0.15,0.25862069,0.119096509,0.880903491,3.03,1.545906,2.361999989,2.361999989,2.5,0.297741273,0.05905,0.198326551,0.02362,2.56,0.304887064,10.6528,0.26632,0.873503772,0.10403125,2109.80685,237.1829506,0.112419272,
PH4,May,1.01,4.86,5.87,1.41,1.17,4.46,0.4,0.16,0.4,0.082304527,0.917695473,,,1.452999949,1.452999949,2.59,0.213168724,0.036324999,0.170404917,0.014025096,2.53,0.208230453,31.2408,0.78102,3.750748221,0.308703557,312.0573593,149.7966188,0.480029117,
PH5,May,1.01,4.89,5.9,1.28,1.1,4.62,0.27,0.09,0.333333333,0.055214724,0.944785276,8.31,4.239762,2.897000074,2.897000074,2.52,0.139141104,0.072425002,0.520514784,0.02874008,2.43,0.134171779,17.2744,0.43186,3.218709648,0.177720165,1884.882954,0,0,NEED TO CHECK THE NOACE! - Looks fine and is defnitely below detection.
LM1,June,0.98,4.95,5.93,1.63,1.33,4.3,0.65,0.35,0.538461538,0.131313131,0.868686869,16.87,8.607074,0.377999991,0.23,2.55,0.334848485,0.00945,0.028221719,0.003705882,2.48,0.325656566,73.4879,1.8371975,5.641518378,0.740805444,2410.389572,262.0696892,0.108725034,
LM2,June,1.03,4.67,5.7,1.82,1.61,3.88,0.79,0.58,0.734177215,0.169164882,0.830835118,20.34,10.377468,1.271000028,1.271000028,2.76,0.466895075,0.031775001,0.068055977,0.011512681,2.42,0.409379015,169.9185,4.2479625,10.37660052,1.755356405,110.8505802,22.56470651,0.203559661,
LM3,June,1.03,4.75,5.78,1.43,1.25,4.35,0.4,0.22,0.55,0.084210526,0.915789474,6.61,3.372422,2.744999886,2.744999886,2.56,0.215578947,0.068624997,0.318328844,0.02680664,2.66,0.224,101.5001,2.5375025,11.32813616,0.953948308,974.7135902,318.7121377,0.326980295,
LM4,June,1,5.33,6.33,1.39,1.18,4.94,0.39,0.18,0.461538462,0.073170732,0.926829268,21.49,10.964198,0.674000025,0.674000025,2.82,0.206341463,0.016850001,0.08166076,0.005975178,2.71,0.198292683,82.0644,2.05161,10.34637269,0.757051661,599.8911603,177.3141751,0.295577243,
LM5,June,0.99,4.94,5.93,1.45,1.18,4.48,0.46,0.19,0.413043478,0.093117409,0.906882591,18.41,9.392782,0.940999985,0.940999985,2.64,0.24582996,0.023525,0.095696227,0.008910985,2.63,0.244898785,248.719,6.217975,25.38997892,2.364249049,578.6226705,74.88528194,0.129419889,
HM1,June,0.99,4.79,5.78,2.15,1.82,3.63,1.16,0.83,0.715517241,0.24217119,0.75782881,12.78,6.520356,2.575999975,2.575999975,2.38,0.576367432,0.064399999,0.111734279,0.027058823,2.44,0.590897704,89.1992,2.22998,3.773885034,0.91392623,50.81543583,21.30542973,0.419270826,
HM2,June,0.99,5.06,6.05,2.24,1.9,3.81,1.25,0.91,0.728,0.247035573,0.752964427,11.28,5.755056,1.253999949,1.253999949,2.57,0.634881423,0.031349999,0.049379298,0.012198443,2.63,0.649703557,87.5691,2.1892275,3.369579057,0.832405894,377.2699096,281.402113,0.74589069,
HM3,June,0.99,5.16,6.15,1.51,1.24,4.64,0.52,0.25,0.480769231,0.100775194,0.899224806,14.72,7.510144,0.924000025,0.924000025,2.74,0.276124031,0.023100001,0.08365806,0.008430657,2.66,0.268062016,81.5376,2.03844,7.604359746,0.766330827,71.57146327,24.32569241,0.339879769,
HM4,June,1,5.01,6.01,1.44,1.15,4.57,0.44,0.15,0.340909091,0.087824351,0.912175649,10.11,5.158122,0.879999995,0.879999995,2.5,0.219560878,0.022,0.100199999,0.0088,2.56,0.224830339,125.8877,3.1471925,13.99807744,1.22937207,27.53957898,0,0,
HM5,June,1,4.89,5.89,3.25,2.91,2.64,2.25,1.91,0.848888889,0.460122699,0.539877301,2.64,1.346928,2.000999928,2.000999928,2.48,1.141104294,0.050024998,0.043839111,0.02017137,2.47,1.136503067,121.275,3.031875,2.667722672,1.227479757,356.50875,73.07779959,0.204981784,
PH1,June,0.99,5.04,6.03,1.61,1.23,4.42,0.62,0.24,0.387096774,0.123015873,0.876984127,5.51,2.811202,0.833000004,0.833000004,2.64,0.324761905,0.020825,0.064123901,0.007888258,2.51,0.308769841,73.5166,1.837915,5.952378615,0.732237052,493.0906022,228.440162,0.463282328,
PH2,June,0.99,5,5.99,1.96,1.6,4.03,0.97,0.61,0.628865979,0.194,0.806,3.8,1.93876,0.250999987,0.23,2.53,0.49082,0.006275,0.012784727,0.002480237,2.52,0.48888,83.1304,2.07826,4.251063656,0.824706349,94.89459621,149.2824067,1.573139174,Fluxes look good; yield is just slightly above 1
PH3,June,1,4.87,5.87,1.57,1.16,4.3,0.57,0.16,0.280701754,0.117043121,0.882956879,4.42,2.255084,0.56099999,0.56099999,2.58,0.301971253,0.014025,0.046444818,0.005436046,2.7,0.316016427,65.4179,1.6354475,5.175197742,0.605721296,208.4451218,265.668434,1.274524593,Fluxes look good; yield is just slightly above 1
PH4,June,1.01,5.04,6.05,1.35,1.17,4.7,0.34,0.16,0.470588235,0.067460317,0.932539683,8.04,4.102008,0.535000026,0.535000026,2.56,0.172698413,0.013375001,0.077447155,0.00522461,2.58,0.174047619,205.8078,5.145195,29.5619959,1.994261628,164.6043066,52.38277457,0.318234533,
PH5,June,1.02,5.01,6.03,1.39,1.18,4.64,0.37,0.16,0.432432432,0.073852295,0.926147705,10.41,5.311182,0.851000011,0.851000011,2.56,0.189061876,0.021275,0.112529298,0.008310547,2.49,0.183892216,171.9628,4.29907,23.37820547,1.726534137,114.8528455,0,0,
LM1,July,1.02,4.98,6,1.92,1.6,4.08,0.9,0.58,0.644444444,0.180722892,0.819277108,7.98,4.071396,1.911000013,1.911000013,2.43,0.439156627,0.047775,0.108788067,0.019660494,2.52,0.455421687,297.409,7.435225,16.32602315,2.950486111,521.9736804,77.71499658,0.148886811,
LM2,July,1.02,4.96,5.98,2.05,1.77,3.93,1.03,0.75,0.72815534,0.20766129,0.79233871,18.76,9.571352,2.984999895,2.984999895,2.47,0.512923387,0.074624997,0.145489559,0.03021255,2.45,0.508770161,133.1086,3.327715,6.540703943,1.35825102,162.6503742,0,0,
LM3,July,1.01,5.07,6.08,1.6,1.35,4.48,0.59,0.34,0.576271186,0.116370809,0.883629191,0.2,0.10204,2.352999926,2.352999926,2.47,0.287435897,0.058824998,0.20465432,0.023815789,2.44,0.283944773,108.8188,2.72047,9.580982842,1.114946721,529.385959,0,0,
LM4,July,1.01,5.15,6.16,1.5,1.23,4.66,0.49,0.22,0.448979592,0.095145631,0.904854369,13.59,6.933618,3.042999983,3.042999983,2.43,0.231203883,0.076075,0.329038589,0.031306584,2.48,0.235961165,296.6399,7.4159975,31.42889,2.990321573,705.8242236,29.97211368,0.042463991,
LM5,July,1.01,5.15,6.16,1.5,1.26,4.66,0.49,0.25,0.510204082,0.095145631,0.904854369,27.8,14.18356,2.674999952,2.674999952,2.58,0.245475728,0.066874999,0.272430188,0.025920542,2.41,0.229300971,311.0971,7.7774275,33.91798766,3.22714834,645.7722151,22.80067127,0.035307607,
HM1,July,1.01,5.09,6.1,1.6,1.28,4.5,0.59,0.27,0.457627119,0.115913556,0.884086444,6.1,3.11222,2.055999994,2.055999994,2.42,0.280510806,0.0514,0.183237148,0.021239669,2.46,0.285147348,211.4913,5.2872825,18.54228188,2.149301829,364.8874235,189.8206128,0.520216923,
HM2,July,1.02,5.16,6.18,2.25,1.79,3.93,1.23,0.77,0.62601626,0.238372093,0.761627907,,,2.852999926,2.852999926,2.52,0.600697674,0.071324998,0.118736931,0.028303571,2.54,0.605465116,146.2088,3.65522,6.037044747,1.439062992,1196.869905,544.5355664,0.454966378,
HM3,July,1.02,5.14,6.16,1.74,1.39,4.42,0.72,0.37,0.513888889,0.140077821,0.859922179,17.65,9.00503,1.722000003,1.722000003,2.53,0.354396887,0.04305,0.121473979,0.01701581,2.58,0.361400778,150.2432,3.75608,10.39311542,1.455844961,268.0837825,52.64978902,0.19639304,
HM4,July,1.02,5.15,6.17,1.56,1.22,4.61,0.54,0.2,0.37037037,0.104854369,0.895145631,10.35,5.28057,3.345999956,3.345999956,2.55,0.267378641,0.083649999,0.312852211,0.032803921,2.5,0.262135922,169.2756,4.23189,16.14387667,1.692756,562.6062268,283.7384571,0.504328682,
HM5,July,1,4.95,5.95,2.57,2.08,3.38,1.57,1.08,0.687898089,0.317171717,0.682828283,,,4.107999802,4.107999802,2.56,0.811959596,0.102699995,0.12648412,0.040117186,2.43,0.770727273,182.5892,4.56473,5.922626799,1.878489712,1606.398497,1023.310962,0.637021862,
PH1,July,1.02,5.07,6.09,1.79,1.38,4.3,0.77,0.36,0.467532468,0.151873767,0.848126233,3.61,1.841822,3.604000092,3.604000092,2.51,0.381203156,0.090100002,0.236356916,0.035896415,2.45,0.37209073,80.3343,2.0083575,5.39749405,0.819737755,795.6553433,498.0561885,0.625969765,
PH2,July,1.02,5.09,6.11,1.83,1.47,4.28,0.81,0.45,0.555555556,0.15913556,0.84086444,3.22,1.642844,1.161999941,1.161999941,2.46,0.391473477,0.029049999,0.074206811,0.011808942,2.58,0.410569745,125.1917,3.1297925,7.623047098,1.213097868,,259.2480684,,"Eliminate ACE (Denit) much lower than NOACE, so perhaps leaky assay"
PH3,July,1.01,5.07,6.08,1.7,1.23,4.38,0.69,0.22,0.31884058,0.136094675,0.863905325,5.08,2.591816,1.419999957,1.419999957,2.42,0.329349112,0.035499999,0.107788355,0.014669421,2.48,0.337514793,151.3621,3.7840525,11.211516,1.525827621,246.2283971,199.5334253,0.810359112,
PH4,July,1.02,5.06,6.08,1.53,1.25,4.55,0.51,0.23,0.450980392,0.100790514,0.899209486,5.27,2.688754,2.655999899,2.655999899,2.4,0.241897233,0.066399997,0.274496722,0.027666666,2.6,0.262055336,107.19,2.67975,10.22589367,1.030673077,281.209949,173.2295331,0.616014952,
PH5,July,1,4.97,5.97,1.34,1.17,4.63,0.34,0.17,0.5,0.068410463,0.931589537,9.53,4.862206,2.611000061,2.611000061,2.45,0.167605634,0.065275002,0.389455891,0.026642858,2.47,0.168973843,152.7343,3.8183575,22.59732886,1.545893725,945.6657316,420.3059472,0.444455089,
LM1,August,0.99,4.7,5.69,1.68,NA,4.01,0.69,NA,,0.146808511,0.853191489,,,1.016000032,1.016000032,2.49,0.365553191,0.025400001,0.069483734,0.010200804,2.55,0.374361702,99.1343,2.4783575,6.620221796,0.971904902,,240.5173538,,
LM2,August,1,4.64,5.64,1.56,NA,4.08,0.56,NA,,0.120689655,0.879310345,,,1.245000005,1.245000005,2.49,0.300517241,0.031125,0.103571429,0.0125,2.49,0.300517241,128.1849,3.2046225,10.66368933,1.286996988,,31.85737578,,
LM3,August,1.01,5.06,6.07,1.51,NA,4.56,0.5,NA,,0.098814229,0.901185771,,,0.708999991,0.708999991,2.47,0.244071146,0.017725,0.072622266,0.007176113,2.46,0.243083004,165.4192,4.13548,17.01262504,1.681089431,,725.7711634,,
LM4,August,1,5.39,6.39,1.41,NA,4.98,0.41,NA,,0.07606679,0.92393321,,,0.91900003,0.91900003,2.59,0.197012987,0.022975001,0.116616681,0.008870657,2.54,0.193209647,120.0774,3.001935,15.53718998,1.181864173,,49.03087857,,
LM5,August,0.99,4.7,5.69,1.47,NA,4.22,0.48,NA,,0.10212766,0.89787234,,,1.156999946,1.156999946,2.51,0.256340426,0.028924999,0.112838225,0.011523904,2.55,0.260425532,114.4724,2.86181,10.98897631,1.122278431,,78.08418231,,
HM1,August,0.99,4.74,5.73,1.6,NA,4.13,0.61,NA,,0.128691983,0.871308017,,,0.707000017,0.707000017,2.49,0.320443038,0.017675,0.05515801,0.007098394,2.43,0.312721519,150.2846,3.757115,12.01425157,1.54613786,,113.8824781,,
HM2,August,1,4.64,5.64,1.8,NA,3.84,0.8,NA,,0.172413793,0.827586207,,,0.727999985,0.727999985,2.54,0.437931034,0.0182,0.041559054,0.007165354,2.56,0.44137931,55.5988,1.38997,3.149150781,0.542957031,,591.6013164,,
HM3,August,0.99,4.75,5.74,1.56,NA,4.18,0.57,NA,,0.12,0.88,,,1.325999975,1.325999975,2.48,0.2976,0.033149999,0.111391127,0.013366935,2.52,0.3024,106.6288,2.66572,8.81521164,1.057825397,,184.9185103,,
HM4,August,1.02,5.27,6.29,1.42,NA,4.87,0.4,NA,,0.075901328,0.924098672,,,1.286000013,1.286000013,2.48,0.188235294,0.03215,0.170796877,0.01296371,2.46,0.186717268,82.066,2.05165,10.98800356,0.834004065,,282.8393863,,
HM5,August,1.01,4.72,5.73,2.76,NA,2.97,1.75,NA,,0.370762712,0.629237288,,,1.014999986,1.014999986,2.41,0.893538136,0.025375,0.02839834,0.010529045,2.46,0.912076271,58.8956,1.47239,1.614327712,0.59853252,,575.4370736,,
PH1,August,0.99,4.52,5.51,1.51,NA,4,0.52,NA,,0.115044248,0.884955752,,,0.888000011,0.888000011,2.43,0.279557522,0.0222,0.079411207,0.009135803,2.44,0.280707965,194.1566,4.853915,17.29168963,1.989309426,,647.4470739,,
PH2,August,1,4.71,5.71,1.8,NA,3.91,0.8,NA,,0.16985138,0.83014862,,,0.782999992,0.782999992,2.44,0.414437367,0.019575,0.04723271,0.008022541,2.42,0.41104034,88.959,2.223975,5.410600336,0.918997934,,501.4932683,,
PH3,August,0.99,4.66,5.65,1.64,NA,4.01,0.65,NA,,0.139484979,0.860515021,,,1.166000009,1.166000009,2.51,0.350107296,0.02915,0.083260191,0.011613546,2.44,0.340343348,167.7855,4.1946375,12.32472305,1.71911373,,759.9977092,,
PH4,August,0.98,4.68,5.66,1.41,NA,4.25,0.43,NA,,0.091880342,0.908119658,,,1.235000014,1.235000014,2.47,0.226944444,0.030875,0.136046513,0.0125,2.43,0.223269231,140.4263,3.5106575,15.72387511,1.444715021,,142.6131784,,
PH5,August,0.99,4.74,5.73,1.34,NA,4.39,0.35,NA,,0.073839662,0.926160338,,,1.268000007,1.268000007,2.48,0.183122363,0.0317,0.173108296,0.012782258,2.49,0.183860759,141.2041,3.5301025,19.19986902,1.417711847,,192.4257834,,
LM1,October,0.99,5.1,6.09,1.61,NA,4.48,0.62,NA,,0.121568627,0.878431373,10.98,,0.739000022,0.739000022,2.47,0.30027451,0.018475001,0.061527036,0.007479757,2.48,0.301490196,NA,NA,,,1176.047099,316.2521711,0.268911144,
LM2,October,1,5.18,6.18,1.56,NA,4.62,0.56,NA,,0.108108108,0.891891892,15.85,8.08667,0.811999977,0.811999977,2.44,0.263783784,0.020299999,0.076956965,0.008319672,2.6,0.281081081,178.9566,4.473915,15.91681298,1.720736538,665.5059743,68.4866979,0.102909216,
LM3,October,1,5.17,6.17,1.57,NA,4.6,0.57,NA,,0.110251451,0.889748549,6.97,3.556094,0.254999995,0.23,2.43,0.267911025,0.006375,0.023795213,0.002623457,2.5,0.275628627,186.5811,4.6645275,16.92323311,1.865811,2129.644674,262.5786763,0.123296942,
LM4,October,1,5.04,6.04,1.5,NA,4.54,0.5,NA,,0.099206349,0.900793651,17.7,9.03054,0.335000008,0.23,2.4,0.238095238,0.008375,0.035175001,0.003489583,2.42,0.240079365,207.4489,5.1862225,21.60211686,2.143067149,491.6992707,773.2764144,1.5726613,Fluxes look good; yield is just slightly above 1
LM5,October,1,5.15,6.15,1.56,NA,4.59,0.56,NA,,0.108737864,0.891262136,17.38,8.867276,1.853000045,1.853000045,2.44,0.265320388,0.046325001,0.174600231,0.018985656,2.52,0.274019417,226.8347,5.6708675,20.69513012,2.250344246,,582.2983716,,"Eliminate ACE (Denit) much lower than NOACE, so perhaps leaky assay"
HM1,October,1,5.1,6.1,1.67,NA,4.43,0.67,NA,,0.131372549,0.868627451,8.98,4.581596,0.740999997,0.740999997,2.54,0.333686275,0.018525,0.055516218,0.007293307,2.54,0.333686275,182.7649,4.5691225,13.69286917,1.798867126,121.0853325,42.83994096,0.35379959,
HM2,October,1,5.19,6.19,2.2,NA,3.99,1.2,NA,,0.231213873,0.768786127,13.14,6.704028,1.495000005,1.495000005,2.47,0.571098266,0.037375,0.065444079,0.015131579,2.58,0.596531792,159.152,3.9788,6.669887597,1.542170543,1098.500542,700.3228973,0.637526219,
HM3,October,1,5.38,6.38,1.57,NA,4.81,0.57,NA,,0.105947955,0.894052045,10.89,5.556078,0.972000003,0.972000003,2.56,0.271226766,0.0243,0.089592928,0.009492188,2.43,0.257453532,172.3174,4.307935,16.73286427,1.772812757,279.0358616,84.95437891,0.304456848,
HM4,October,1,5.17,6.17,1.35,NA,4.82,0.35,NA,,0.067698259,0.932301741,14.36,7.326472,0.345999986,0.23,2.59,0.175338491,0.00865,0.049333147,0.003339768,2.6,0.176015474,217.5394,5.438485,30.89776643,2.091725,34.25352252,48.35877836,1.411789936,Fluxes look good; yield is just slightly above 1
HM5,October,0.99,5.08,6.07,3.27,NA,2.8,2.28,NA,,0.448818898,0.551181102,2.88,1.469376,0.377000004,0.23,2.59,1.162440945,0.009425,0.008107939,0.003638996,2.54,1.14,81.9328,2.04832,1.79677193,0.806425197,1272.651954,505.1987804,0.396965391,
PH1,October,1,5.15,6.15,1.78,NA,4.37,0.78,NA,,0.151456311,0.848543689,4.43,2.260186,0.811999977,0.811999977,2.54,0.384699029,0.020299999,0.052768523,0.007992126,2.44,0.369553398,126.592,3.1648,8.563850357,1.29704918,1601.589342,776.4675301,0.484810625,
PH2,October,0.99,5.18,6.17,1.65,NA,4.52,0.66,NA,,0.127413127,0.872586873,7.95,4.05609,0.675000012,0.675000012,2.48,0.315984556,0.016875,0.05340451,0.006804436,2.47,0.314710425,144.1182,3.602955,11.44847681,1.458686235,2290.619518,1069.651159,0.466970246,
PH3,October,1,5.07,6.07,1.54,NA,4.53,0.54,NA,,0.106508876,0.893491124,7.56,3.857112,0.703999996,0.703999996,2.47,0.263076923,0.0176,0.066900584,0.007125506,2.51,0.267337278,73.7195,1.8429875,6.893866479,0.734257968,3902.629905,2234.868535,0.572657052,
PH4,October,0.99,5.21,6.2,1.41,NA,4.79,0.42,NA,,0.080614203,0.919385797,11.73,5.984646,1.149999976,1.149999976,2.47,0.199117083,0.028749999,0.144387408,0.011639676,2.47,0.199117083,166.0618,4.151545,20.84976812,1.680787449,714.7071765,157.2060731,0.219958716,
PH5,October,1.02,5.15,6.17,1.29,NA,4.88,0.27,NA,,0.052427184,0.947572816,7.73,3.943846,0.532999992,0.532999992,2.53,0.132640777,0.013325,0.100459302,0.005266798,2.55,0.13368932,151.5704,3.78926,28.34377487,1.485984314,288.4314416,84.42098091,0.292689939,
