Month ,Month.N,Site,VegZone,Site.N,Denit.Rate,log.Denit.Rate,N2O.Rate,log.N2O.Rate,N2O.Yield,sqrt.yield,Soil.Moist,Chloride,Sulfate,log.Chloride,cube.moist,log.so4,nh4,log.nh4,B.Biomass
1,May,HM1,HM,6,229.5314108,2.360842126,35.99986244,1.556300841,0.156840679,0.39603116,0.837160752,31.98852746,2.576919925,1.504994249,0.279053584,0.411100924,6.955599544,0.900672914,9.18
1,May,HM2,HM,7,1237.994905,3.092718857,142.9608774,2.155217205,0.115477759,0.339820186,0.701171875,11.08402267,1.769741746,1.044697405,0.233723958,0.247909895,6.46582578,0.873077851,8.87
1,May,HM3,HM,8,800.2604755,2.903231368,65.3662949,1.815353869,0.081681274,0.285799359,0.886409736,45.62990782,6.168135852,1.659249591,0.295469912,0.79015393,12.0560019,1.115810205,9.38
1,May,HM4,HM,9,1421.649286,3.152792471,160.3917608,2.205182055,0.112820906,0.335888235,0.897916667,98.8065902,4.907909675,1.994785912,0.299305556,0.690896561,11.90997812,1.110925506,13.7
1,May,HM5,HM,10,384.8028395,2.585238268,10.26878871,1.011519218,0.026685844,0.163358025,0.514227642,8.374080325,0.956513307,0.922937122,0.171409214,-0.019308984,2.387109622,0.529829253,6.31
1,May,LM1,LM,1,2575.067739,3.410788658,180.2989513,2.255993201,0.070017168,0.264607574,0.859183673,58.45147453,1.334037843,1.766795471,0.286394558,0.12516815,5.004302592,0.778462571,10.15
1,May,LM2,LM,2,1587.611347,3.200744194,251.3476463,2.400274823,0.158318122,0.397892098,0.894230769,43.35198348,5.58852444,1.637008973,0.298076923,0.747297155,14.97353993,1.203401172,15.9
1,May,LM3,LM,3,4317.472272,3.635229557,234.0774385,2.369359556,0.054216315,0.232843972,0.89375,55.01844732,3.993733635,1.74050833,0.297916667,0.601379096,9.348772587,1.014888843,10.09
1,May,LM4,LM,4,809.8013049,2.908378472,0,0,0,0,0.905050505,124.8923848,3.538764426,2.096535958,0.301683502,0.548851653,23.04332203,1.380994473,15.81
1,May,LM5,LM,5,55.91249458,1.747508869,52.0864455,1.716724721,0.931570768,0.965179138,0.885480573,64.68317871,7.172704683,1.810791354,0.295160191,0.85568295,19.25132959,1.306453542,17.73
1,May,PH1,PH,11,440.7087808,2.644151704,160.9375764,2.206657457,0.365178965,0.604300393,0.784518828,18.38609205,1.943451388,1.26448943,0.261506276,0.288573682,8.448406218,0.975358557,6.1
1,May,PH2,PH,12,2380.403118,3.37665051,200.0418256,2.301120809,0.084036953,0.289891278,0.802020202,13.84548972,0.6794565,1.141308322,0.267340067,-0.167838342,0,0,4.36
1,May,PH3,PH,13,1135.941488,3.055355962,162.4892838,2.210824725,0.143043709,0.378211196,0.880903491,7.412196845,0.756962099,0.869946944,0.293634497,-0.120925865,7.933062031,0.95100035,3.03
1,May,PH4,PH,14,193.8257571,2.287411489,101.2513749,2.005400929,0.522383487,0.722761017,0.917695473,71.60157827,3.300360228,1.854922595,0.305898491,0.518561345,0,0,NA
1,May,PH5,PH,15,977.3386662,2.990045081,18.22001872,1.260548819,0.018642482,0.136537476,0.944785276,54.35799264,2.814242658,1.735263411,0.314928425,0.449361542,20.82059136,1.338866516,NA
2,June,HM1,HM,6,41.88698006,1.62207905,17.8539822,1.251735097,0.42624181,0.652871971,0.75782881,21.0933545,3.33768003,1.324145652,0.252609603,0.5234447,0,0,12.78
2,June,HM2,HM,7,317.6723268,2.501979384,212.7708043,2.327912035,0.669780734,0.818401328,0.752964427,24.31504209,2.979948042,1.385875026,0.250988142,0.474208692,0,0,11.28
2,June,HM3,HM,8,61.33244236,1.787690259,20.0341808,1.301771589,0.326648997,0.571532149,0.899224806,53.13770512,6.723718662,1.725402794,0.299741602,0.827609533,10.2401673,1.050772775,NA
2,June,HM4,HM,9,23.24615394,1.366351109,0,0,0,0,0.912175649,94.60259748,2.623871612,1.975903061,0.30405855,0.418942581,0,0,10.11
2,June,HM5,HM,10,305.9920179,2.485710098,50.62651867,1.704378064,0.165450455,0.406756014,0.539877301,16.53618406,0.49997408,1.218435298,0.1799591,-0.30105251,0,0,2.64
2,June,LM1,LM,1,2096.471876,3.321489041,197.6580698,2.29591455,0.094281289,0.307052583,0.868686869,38.47293051,4.986528811,1.585155268,0.28956229,0.697798333,7.910173621,0.949886167,NA
2,June,LM2,LM,2,92.25980192,1.965012518,18.03282162,1.256063687,0.195456973,0.442105161,0.830835118,69.75933912,1.947068282,1.843602358,0.276945039,0.289381182,0,0,20.34
2,June,LM3,LM,3,822.9761049,2.915387226,239.5834193,2.379456759,0.291118318,0.539553814,0.915789474,74.41647394,2.121350893,1.871669088,0.305263158,0.326612511,0,0,NA
2,June,LM4,LM,4,506.0237945,2.704170939,134.8352434,2.129803423,0.266460283,0.51619791,0.926829268,71.33752066,9.148283192,1.853318011,0.308943089,0.9613396,0,0,21.49
2,June,LM5,LM,5,485.9943903,2.686631256,55.53771048,1.744587972,0.114276443,0.33804799,0.906882591,136.7669854,4.768657316,2.135981274,0.302294197,0.678396114,8.170722138,0.962403535,18.41
2,June,PH1,PH,11,414.9386911,2.617983933,150.3509577,2.177106199,0.362344994,0.60195099,0.876984127,41.57286151,5.261303045,1.618809919,0.292328042,0.721093317,0,0,5.51
2,June,PH3,PH,13,158.6947989,2.200562693,91.24023397,1.96018639,0.574941552,0.758249004,0.882956879,33.41365124,4.572486873,1.523923935,0.29431896,0.660152467,0,0,NA
2,June,PH4,PH,14,106.2918205,2.026499846,32.01353131,1.505333582,0.301185276,0.548803495,0.932539683,183.0707204,5.549873206,2.262618891,0.310846561,0.744283061,0,0,8.04
2,June,PH5,PH,15,75.19932283,1.87621393,51.8356782,1.714628785,0.689310439,0.830247215,0.926147705,139.4421893,4.386849185,2.144394193,0.308715902,0.642152704,0,0,10.41
3,July,HM1,HM,6,169.7858575,2.229901512,182.1007519,2.260311739,1,1,0.884086444,100.6652424,3.481305967,2.002879544,0.294695481,0.541742194,6.812571836,0.892794024,6.1
3,July,HM2,HM,7,587.1456847,2.768745873,548.5618407,2.739225594,0.93428574,0.966584575,0.761627907,39.86747796,1.132242689,1.600618763,0.253875969,0.053939525,4.96922166,0.775917706,NA
3,July,HM3,HM,8,125.363946,2.098172654,36.63779218,1.563929295,0.292251428,0.540602837,0.859922179,55.72335723,1.949407769,1.746037274,0.286640726,0.289902693,6.639448626,0.883062015,17.65
3,July,HM4,HM,9,268.9917934,2.42973903,252.4043609,2.402096854,0.938334801,0.96867683,0.895145631,68.98587722,12.8909591,1.838760191,0.298381877,1.11028523,11.38086413,1.092750958,10.35
3,July,LM1,LM,1,449.7397005,2.652961226,81.55192229,1.911434202,0.181331384,0.425830229,0.819277108,84.81502043,3.067320945,1.928472771,0.273092369,0.48675922,4.681700947,0.754478371,7.98
3,July,LM2,LM,2,139.593549,2.144865349,0,0,0,0,0.79233871,32.08165517,1.226283562,1.506256766,0.264112903,0.088590907,5.562234044,0.817051716,NA
3,July,LM3,LM,3,452.9304862,2.656031553,48.80420231,1.688457219,0.107752081,0.328256121,0.883629191,73.72633556,1.79477503,1.867622649,0.294543064,0.254010019,5.990900991,0.844533151,NA
3,July,LM4,LM,4,603.6611797,2.780793248,33.8919851,1.530097007,0.056144053,0.236947363,0.904854369,180.5468497,5.904794744,2.256589915,0.301618123,0.771204806,14.47207506,1.189548564,13.59
3,July,LM5,LM,5,552.4639757,2.742303964,20.62387037,1.31437017,0.037330706,0.193211558,0.904854369,183.1319137,6.37294924,2.262764034,0.301618123,0.804340459,16.73485127,1.248827551,27.8
3,July,PH1,PH,11,618.0962091,2.79105608,591.5739139,2.772009015,0.957090345,0.978309943,0.848126233,35.94441822,4.314928969,1.555631459,0.282708744,0.634973651,9.454276641,1.019293988,NA
3,July,PH3,PH,13,191.8979219,2.283070272,175.8606601,2.245168699,0.916428163,0.957302545,0.863905325,60.73173267,8.953563821,1.783415672,0.287968442,0.951995934,0,0,5.08
3,July,PH4,PH,14,320.8362856,2.50628348,157.1363913,2.196276775,0.489771258,0.699836594,0.899209486,60.08490777,8.170363338,1.778765399,0.299736495,0.91224137,10.97986886,1.078452064,5.27
3,July,PH5,PH,15,746.2310988,2.872873344,374.917632,2.573935865,0.502414912,0.708812325,0.931589537,129.5194883,18.04613683,2.11233512,0.310529846,1.256384246,15.57823566,1.219538309,9.53
4,August,HM1,HM,6,NA,NA,3.184584185,0.503052734,NA,NA,0.871308017,83.20109038,9.594684142,1.920129018,0.290436006,0.982030682,0,0,NA
4,August,HM2,HM,7,NA,NA,16.35256339,1.213585841,NA,NA,0.827586207,21.98904674,2.519991392,1.342206402,0.275862069,0.401399057,0,0,NA
4,August,HM3,HM,8,NA,NA,5.316179672,0.72559965,NA,NA,0.88,53.84918722,7.043321493,1.731179153,0.293333333,0.847777512,0,0,NA
4,August,HM4,HM,9,NA,NA,8.04081791,0.905300227,NA,NA,0.924098672,75.8227865,8.78370573,1.879799741,0.308032891,0.943677778,0,0,NA
4,August,HM5,HM,10,NA,NA,16.06608935,1.205910178,NA,NA,0.629237288,10.76772838,1.291576803,1.032124092,0.209745763,0.111120236,0,0,NA
4,August,LM1,LM,1,NA,NA,6.703479561,0.82630029,NA,NA,0.853191489,44.65221083,5.290187425,1.649842967,0.284397163,0.723471059,0,0,NA
4,August,LM2,LM,2,NA,NA,0.766736339,-0.115353953,NA,NA,0.879310345,99.20058913,8.517879253,1.996514251,0.293103448,0.930331479,0,0,NA
4,August,LM3,LM,3,NA,NA,19.98758289,1.300760278,NA,NA,0.901185771,100.1544742,13.58494517,2.000670355,0.300395257,1.13305789,0,0,NA
4,August,LM4,LM,4,NA,NA,1.735341298,0.239384902,NA,NA,0.92393321,103.8071405,12.41187089,2.016227228,0.307977737,1.093837249,0,0,NA
4,August,LM5,LM,5,NA,NA,2.090412276,0.320231947,NA,NA,0.89787234,87.00679196,8.779132888,1.939553156,0.29929078,0.943451623,0,0,NA
4,August,PH1,PH,11,NA,NA,17.77745962,1.249869701,NA,NA,0.884955752,99.34272346,13.80562124,1.997136062,0.294985251,1.140055954,0,0,NA
4,August,PH2,PH,12,NA,NA,13.86806807,1.142015965,NA,NA,0.83014862,38.52902485,4.324467512,1.585788017,0.276716207,0.635932639,0,0,NA
4,August,PH3,PH,13,NA,NA,21.06366124,1.323533862,NA,NA,0.860515021,71.04932966,9.84141682,1.851559985,0.28683834,0.993057626,0,0,NA
4,August,PH4,PH,14,NA,NA,4.188439689,0.622052266,NA,NA,0.908119658,102.5007946,12.55823521,2.010727232,0.302706553,1.098928613,0,0,NA
4,August,PH5,PH,15,NA,NA,5.05866989,0.70403634,NA,NA,0.926160338,118.2492988,15.33438393,2.072798574,0.308720113,1.185666333,0,0,NA
5,October,HM1,HM,6,4.395487952,0.643007094,1.195029726,0.077378708,0.271876465,0.521417745,0.868627451,83.48567925,10.93292772,1.921611985,0.289542484,1.038736477,0,0,8.98
5,October,HM2,HM,7,39.71073366,1.598907911,23.79868072,1.376552883,0.599300958,0.774145308,0.768786127,43.74779088,5.326293011,1.640956127,0.256262042,0.726425054,0,0,NA
5,October,HM3,HM,8,9.680764631,0.985909661,2.791022917,0.445763403,0.28830604,0.536941375,0.894052045,90.5055754,13.36098823,1.956675334,0.298017348,1.125838581,0,0,NA
5,October,HM5,HM,10,45.76557583,1.660538931,17.37886276,1.240021354,0.379736569,0.616227693,0.551181102,12.56885455,1.436332544,1.0992957,0.183727034,0.157255001,1.594059512,0.413979935,NA
5,October,LM1,LM,1,41.74467433,1.620601077,10.60088809,1.02534225,0.253945881,0.503930433,0.878431373,NA,NA,NA,0.292810458,NA,0,0,10.29
5,October,LM2,LM,2,23.60892478,1.373076209,2.298954085,0.361530298,0.097376484,0.312052053,0.891891892,103.3494095,12.7089121,2.014308,0.297297297,1.104108376,0,0,15.85
5,October,LM3,LM,3,76.50459961,1.883687547,8.816796113,0.945310798,0.115245308,0.339477993,0.889748549,102.6218066,13.5119245,2.011239656,0.29658285,1.13071721,0,0,NA
5,October,PH1,PH,11,56.59369605,1.752768058,26.38253648,1.421316547,0.466174474,0.682769708,0.848543689,56.81979869,6.84068614,1.754499691,0.282847896,0.835099665,0,0,NA
5,October,PH2,PH,12,81.47129637,1.911004627,36.89450173,1.56696165,0.452852764,0.672943359,0.872586873,71.17852589,9.143308376,1.85234899,0.290862291,0.961103367,0,0,7.95
5,October,PH3,PH,13,139.1763226,2.143565357,76.95998562,1.886264978,0.552967518,0.743617857,0.893491124,45.74322136,5.512234697,1.660326746,0.297830375,0.7413277,0,0,NA
5,October,PH4,PH,14,25.20148551,1.401426141,5.226573805,0.718217088,0.207391497,0.455402566,0.919385797,133.9014939,16.64895415,2.126785422,0.306461932,1.221386957,0,0,NA
5,October,PH5,PH,15,8.831150006,0.946017262,2.95187973,0.470098659,0.334257682,0.578150224,0.947572816,174.5838394,22.63537569,2.24200404,0.315857605,1.354787707,0,0,7.73
